seller_id,seller_zip_code_prefix,seller_city,seller_state,total_items_sold,unique_orders_from_items,unique_products_sold,category_diversity,total_item_sales_value,total_item_freight_value,orders_handled,unique_customers,first_order_date,last_order_date,avg_review_score,review_count,late_delivery_orders,avg_delivery_delay_days,avg_actual_delivery_days,avg_order_items,avg_order_sales_value,avg_order_freight_value,review_risk_orders,late_delivery_rate,review_risk_rate,seller_tenure_days,review_risk_flag,active_seller_flag
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,3,3,3,1,218.70000000000002,27.9,3,3,2017-05-05 16:12:29,2017-08-30 11:47:52,3.0,3,1,-6.0,12.666666666666666,1.0,72.9,9.299999999999999,1,0.3333333333333333,0.3333333333333333,116,False,True
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,41,40,30,3,11703.07,1438.73,40,40,2017-03-28 09:00:00,2018-06-06 20:01:45,4.55,40,1,-15.974358974358974,8.743589743589743,1.025,292.57675,35.96825,2,0.025,0.05,435,False,True
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,1,1,1,1,158.0,16.21,1,1,2018-07-30 12:20:10,2018-07-30 12:20:10,5.0,1,0,-13.0,4.0,1.0,158.0,16.21,0,0.0,0.0,0,False,True
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,1,1,1,1,79.99,15.66,1,1,2018-08-03 00:26:04,2018-08-03 00:26:04,5.0,1,0,-16.0,5.0,1.0,79.99,15.66,0,0.0,0.0,0,False,True
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,1,1,1,1,167.99,31.93,1,1,2017-11-14 12:04:09,2017-11-14 12:04:09,1.0,1,1,7.0,35.0,1.0,167.99,31.93,1,1.0,1.0,0,True,True
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,1,1,1,1,59.9,13.99,1,1,2018-05-08 17:40:24,2018-05-08 17:40:24,4.0,1,0,-15.0,6.0,1.0,59.9,13.99,0,0.0,0.0,0,False,True
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,36,35,31,7,3654.25,1175.46,35,35,2017-02-04 18:51:41,2018-07-25 14:20:31,4.457142857142857,35,0,-19.647058823529413,11.088235294117647,1.0285714285714285,104.40714285714286,33.58457142857143,3,0.0,0.08571428571428572,535,False,True
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,33,30,8,6,3987.6,910.23,30,30,2017-09-22 17:15:55,2018-08-18 18:46:34,4.3,30,0,-14.758620689655173,11.03448275862069,1.1,132.92,30.341,3,0.0,0.1,330,False,True
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,17,17,8,2,587.46,180.24,17,17,2018-06-19 11:51:55,2018-08-23 20:27:42,4.647058823529412,17,2,-8.823529411764707,4.588235294117647,1.0,34.5564705882353,10.602352941176472,0,0.11764705882352941,0.0,65,False,True
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,192,187,12,2,74004.62,5256.98,187,186,2017-01-07 13:29:22,2018-08-21 20:53:43,4.28494623655914,186,12,-16.91304347826087,15.375,1.0267379679144386,395.7466310160428,28.11219251336898,22,0.06417112299465241,0.11764705882352941,591,False,True
